Unique_ID,Reference,yyyy,mm,Location,waters,Zone,Technology,Technology.mentioned,Effort,method,precision..high..med..low.,latitude,longitude,Fish,Details,lgest.spper,units,weight_conversion,largest.jewfish,largest.dhufish.kg,number,n.jewfish,n.spper,Species,me.s,X.Suggested..N.fishers,X.Suggested..N.boats.party,X.Suggested..Time.hrs,X.Suggested..Time.days,Effort.N,Effort.desc,Effort.time,Effort.time.desc,X,X.1,ALYSES,origil_details,details_check,terms,baldchin_groper,blue_groper,dhufish,groper_nondescript,pink_spper,queen_spper,grey_banded_cod,breaksea,whaler_shark,wobbegong,flathead,garfish,grey_nurse,gummy_shark_complex,hammerhead,hapuka,harlequin,herring,john_dory,king_george_whiting,silver_trevally,whiting,great_white,port_jackson,all_sharks,fish_number,max_number,dhu_specific_weight,pink_specific_weight,kg_mentioned,lb_mentioned,both_units
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ST 16061957 p.46,1957,6,City Beach groyne,coastal,3,"He was fishing with a spinner, light glass rod, and a fixed spool reel'",Fibreglass rod,,shore,high,-31.93882493,115.754204,spper,15 lb,15,lb,0.453592,,0,1,0,1,,,1,,,,,,,,,,,15 lb,15 lb,spper 15 lb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spper_1,15,,,FALSE,TRUE,FALSE_TRUE
7,ST 19051957 p.46,1957,5,Five Fathom Bank,midshore,8,Deepwater fisherman,,1 fisher,boat,med,,,bronze whaler,5 ft,,,,,0,1,0,0,Bronze whaler,Percy Crackel,1,1,,,,,,,,,,5 ft,5 ft,bronze whaler 5 ft,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,bronze whaler_1,5,,,FALSE,FALSE,FALSE_FALSE
5,ST 21041957 p.24,1957,4,"Garden Island, off a back beach",coastal,8,Spearfishing; 'the line fishermen couldn't get a bite but right underneath their boat the spearfishermen shot a 20lb. Jewie',spearfishing,2 spearfishers,boat,med,,,jewfish,one jewfish 20 lb,,lb,0.453592,20,9.07184,1,1,0,,,2,,,,,,,,,,Spatial alysis - heat map,one jewfish 20 lb,one  20 lb,jewfish one jewfish 20 lb,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_1,20,,,FALSE,TRUE,FALSE_TRUE
21,ST 01121957 p.56,1957,12,"Marmion, off Marmion Beach",coastal,3,Heavy line and boat rod,,2 fishers,boat,med,,,gummy shark,"twelve gummy shark, 5 lb average",,lb,0.453592,,0,12,0,0,Gummy shark,,2,1,,,,,,,,,,"twelve gummy shark, 5 lb average","twelve , 5 lb average","gummy shark twelve gummy shark, 5 lb average",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,gummy shark_12,5,,,FALSE,TRUE,FALSE_TRUE
